# 本文件由 hanzi_pinyin.db 的 hanzi_pinyin 表导出（仅含 Unihan 有读音汉字）。数据源为 external_data/hanzi_pinyin.txt（Unihan mandarin_readings_merged 导出），经 pinyin_source_staging 导入后直接写入 hanzi_pinyin。构建流水线见 internal_data/hanzi_pinyin/build_valid_pinyin.py。
codepoint	hanzi	common_reading	readings	common_reading_source	is_single
U+20000	𠀀	hē	hē	kHanyuPinyin	1
U+20001	𠀁	qī	qī	kMandarin	1
U+20003	𠀃	qiě	qiě,jī	kHanyuPinyin	0
U+20005	𠀅	hài	hài	kMandarin	1
U+20009	𠀉	qiū	qiū	kMandarin	1
U+2000A	𠀊	cāo	cāo	kHanyuPinyin	1
U+2000D	𠀍	shì	shì	kMandarin	1
U+20013	𠀓	sī	sī	kHanyuPinyin	1
U+20014	𠀔	jué	jué	kHanyuPinyin	1
U+2001B	𠀛	yù	yù	kHanyuPinyin	1
U+2001D	𠀝	kōng	kōng	kHanyuPinyin	1
U+20022	𠀢	zī	zī	kHanyuPinyin	1
U+20026	𠀦	xíng	xíng	kHanyuPinyin	1
U+20031	𠀱	mǒu	mǒu	kHanyuPinyin	1
U+20037	𠀷	jī	jī	kHanyuPinyin	1
U+20038	𠀸	yè	yè	kHanyuPinyin	1
U+20039	𠀹	jūn	jūn	kHanyuPinyin	1
U+2003C	𠀼	qián	qián,xià	kHanyuPinyin	0
U+2003D	𠀽	lù	lù	kHanyuPinyin	1
U+20041	𠁁	dòu	dòu	kMandarin	1
U+20049	𠁉	chū	chū	kHanyuPinyin	1
U+20057	𠁗	shì	shì,hè	kHanyuPinyin	0
U+20060	𠁠	qiè	qiè	kHanyuPinyin	1
U+20065	𠁥	gǎ	gǎ	kMandarin	1
U+2006D	𠁭	qí	qí	kHanyuPinyin	1
U+20077	𠁷	chǎn	chǎn	kHanyuPinyin	1
U+20084	𠂄	huān	huān	kHanyuPinyin	1
U+20086	𠂆	yì	yì	kHanyuPinyin	1
U+20087	𠂇	zuǒ	zuǒ	kHanyuPinyin	1
U+20088	𠂈	jié	jié,tiǎn	kHanyuPinyin	0
U+20091	𠂑	zōu	zōu	kHanyuPinyin	1
U+20094	𠂔	zǐ	zǐ	kHanyuPinyin	1
U+2009D	𠂝	zā	zā	kMandarin	1
U+2009F	𠂟	jīn	jīn	kHanyuPinyin	1
U+200A2	𠂢	pài	pài	kHanyuPinyin	1
U+200A4	𠂤	duī	duī	kHanyuPinyin	1
U+200A5	𠂥	cóng	cóng	kHanyuPinyin	1
U+200A7	𠂧	shèn	shèn	kHanyuPinyin	1
U+200B8	𠂸	huáng	huáng	kHanyuPinyin	1
U+200CA	𠃊	yǐn	yǐn	kHanyuPinyin	1
U+200CC	𠃌	gǔn	gǔn	kHanyuPinyin	1
U+200D3	𠃓	yáng	yáng	kMandarin	1
U+200D6	𠃖	jiū	jiū	kHanyuPinyin	1
U+200EB	𠃫	shēn	shēn	kHanyuPinyin	1
U+200FA	𠃺	jiù	jiù	kHanyuPinyin	1
U+20105	𠄅	yè	yè	kHanyuPinyin	1
U+20109	𠄉	dòng	dòng	kHanyuPinyin	1
U+2010C	𠄌	jué	jué,zhuì	kHanyuPinyin	0
U+2010D	𠄍	jié	jié	kHanyuPinyin	1
U+2010F	𠄏	diǎo	diǎo	kHanyuPinyin	1
U+20111	𠄑	jué	jué	kHanyuPinyin	1
U+20112	𠄒	chuí	chuí,shā	kHanyuPinyin	0
U+20116	𠄖	líng	líng	kHanyuPinyin	1
U+2011A	𠄚	tīng	tīng	kHanyuPinyin	1
U+20123	𠄣	gèn	gèn	kHanyuPinyin	1
U+2012E	𠄮	yà	yà,mǒ	kHanyuPinyin	0
U+20131	𠄱	yí	yí	kHanyuPinyin	1
U+2013F	𠄿	wéi	wéi	kHanyuPinyin	1
U+20142	𠅂	jié	jié	kHanyuPinyin	1
U+2014C	𠅌	yí	yí	kHanyuPinyin	1
U+20157	𠅗	diè	diè	kHanyuPinyin	1
U+2015A	𠅚	qí	qí	kHanyuPinyin	1
U+20164	𠅤	xí	xí	kTGHZ2013	1
U+2016C	𠅬	bāo	bāo	kHanyuPinyin	1
U+20171	𠅱	xiè	xiè	kHanyuPinyin	1
U+20179	𠅹	zhàng	zhàng	kHanyuPinyin	1
U+2018C	𠆌	yōng	yōng	kMandarin	1
U+20190	𠆐	xù	xù	kHanyuPinyin	1
U+20199	𠆙	diè	diè	kHanyuPinyin	1
U+2019B	𠆛	dān	dān	kHanyuPinyin	1
U+2019F	𠆟	wěi	wěi	kHanyuPinyin	1
U+201A3	𠆣	guǎ	guǎ,zhuǎ	kHanyuPinyin	0
U+201A9	𠆩	fàn	fàn	kHanyuPinyin	1
U+201AE	𠆮	mò	mò	kHanyuPinyin	1
U+201B1	𠆱	xī	xī	kHanyuPinyin	1
U+201B2	𠆲	yǎn	yǎn	kHanyuPinyin	1
U+201B5	𠆵	ní	ní	kHanyuPinyin	1
U+201B6	𠆶	dàn	dàn	kHanyuPinyin	1
U+201CB	𠇋	dǎn	dǎn	kHanyuPinyin	1
U+201CF	𠇏	tāo	tāo	kHanyuPinyin	1
U+201D0	𠇐	yú	yú	kMandarin	1
U+201D2	𠇒	gōng	gōng	kHanyuPinyin	1
U+201D7	𠇗	kuā	kuā	kHanyuPinyin	1
U+201D8	𠇘	chù	chù	kHanyuPinyin	1
U+201EF	𠇯	qù	qù	kHanyuPinyin	1
U+201F1	𠇱	mò	mò	kHanyuPinyin	1
U+201F3	𠇳	shī	shī	kHanyuPinyin	1
U+201F5	𠇵	gǎn	gǎn	kHanyuPinyin	1
U+201F7	𠇷	shēng	shēng	kHanyuPinyin	1
