# 本文件由 phrase_pinyin.db 的 phrase_pinyin 表导出（经音节码表校验后的词语读音）。数据源为 external_data/phrase_pinyin.txt（phrase-pinyin-data 冒号格式）；readings 中多条读音以 | 分隔。构建流水线见 internal_data/phrase_pinyin/build_valid_pinyin.py。
phrase	phrase_len	common_reading	readings
㐖毒	2	xié dú	xié dú
㚻奸	2	jī jiān	jī jiān
㞎㞎	2	bǎ ba	bǎ ba
㤽㤽	2	chóu chóu	chóu chóu
㧑挹	2	huī yì	huī yì
㧑损	2	huī sǔn	huī sǔn
㵐水	2	jué shuǐ	jué shuǐ
㶉鶒	2	xī chì	xī chì
㹴犬	2	gěng quǎn	gěng quǎn
䗖𬟽	2	dì dōng	dì dōng
䲠鱼	2	chūn yú	chūn yú
䴙䴘	2	pì tī	pì tī
一一	2	yī yī	yī yī
一丁	2	yī dīng	yī dīng
一七	2	yī qī	yī qī
一上	2	yī shàng	yī shàng
一下	2	yī xià	yī xià
一世	2	yī shì	yī shì
一丝	2	yī sī	yī sī
一丢	2	yī diū	yī diū
一两	2	yī liǎng	yī liǎng
一严	2	yī yán	yī yán
一个	2	yí gè	yí gè
一举	2	yī jǔ	yī jǔ
一乘	2	yī chéng	yī chéng
一九	2	yī jiǔ	yī jiǔ
一了	2	yī liǎo	yī liǎo
一事	2	yī shì	yī shì
一二	2	yī èr	yī èr
一些	2	yī xiē	yī xiē
一交	2	yī jiāo	yī jiāo
一人	2	yī rén	yī rén
一介	2	yī jiè	yī jiè
一仍	2	yī réng	yī réng
一从	2	yī cóng	yī cóng
一代	2	yí dài	yí dài
一价	2	yī jià	yī jià
一任	2	yī rèn	yī rèn
一份	2	yī fèn	yī fèn
一众	2	yī zhòng	yī zhòng
一伙	2	yī huǒ	yī huǒ
一会	2	yī huì	yī huì
一似	2	yī sì	yī sì
一体	2	yī tǐ	yī tǐ
一何	2	yī hé	yī hé
一例	2	yī lì	yī lì
一依	2	yī yī	yī yī
一侧	2	yī cè	yī cè
一倍	2	yí bèi	yí bèi
一借	2	yī jiè	yī jiè
一偏	2	yī piān	yī piān
一停	2	yī tíng	yī tíng
一元	2	yī yuán	yī yuán
一光	2	yī guāng	yī guāng
一克	2	yī kè	yī kè
一党	2	yī dǎng	yī dǎng
一共	2	yī gòng	yī gòng
一再	2	yī zài	yī zài
一准	2	yī zhǔn	yī zhǔn
一出	2	yī chū	yī chū
一分	2	yī fēn	yī fēn
一切	2	yī qiè	yī qiè
一列	2	yī liè	yī liè
一则	2	yī zé	yī zé
一初	2	yī chū	yī chū
一刬	2	yī chàn	yī chàn
一到	2	yí dào	yí dào
一刷	2	yī shuā	yī shuā
一刹	2	yī shā	yī shā
一刻	2	yī kè	yī kè
一剏	2	yī chuàng	yī chuàng
一副	2	yī fù	yī fù
一割	2	yī gē	yī gē
一力	2	yī lì	yī lì
一动	2	yī dòng	yī dòng
一劫	2	yī jié	yī jié
一势	2	yī shì	yī shì
一匊	2	yī jū	yī jū
一化	2	yī huā	yī huā
一匙	2	yī chí	yī chí
一匡	2	yī kuāng	yī kuāng
一匮	2	yī kuì	yī kuì
一匹	2	yì pǐ	yì pǐ
一区	2	yī qū	yī qū
一半	2	yí bàn	yí bàn
一卒	2	yī zú	yī zú
一卦	2	yī guà	yī guà
一卷	2	yī juàn	yī juàn
一原	2	yī yuán	yī yuán
一又	2	yī yòu	yī yòu
一双	2	yī shuāng	yī shuāng
一反	2	yī fǎn	yī fǎn
一发	2	yī fā	yī fā
一取	2	yī qǔ	yī qǔ
一变	2	yī biàn	yī biàn
一叠	2	yī dié	yī dié
一口	2	yī kǒu	yī kǒu
一句	2	yī jù	yī jù
一只	2	yī zhī	yī zhī
一叶	2	yī yè	yī yè
一号	2	yī hào	yī hào
一合	2	yī hé	yī hé
一同	2	yī tóng	yī tóng
一吐	2	yī tǔ	yī tǔ
一向	2	yí xiàng	yí xiàng
一听	2	yī tīng	yī tīng
一周	2	yī zhōu	yī zhōu
一味	2	yī wèi	yī wèi
一呵	2	yī hē	yī hē
一呼	2	yī hū	yī hū
一命	2	yī mìng	yī mìng
一和	2	yī hè	yī hè
一品	2	yī pǐn	yī pǐn
一哄	2	yí hòng	yí hòng
一唯	2	yī wéi	yī wéi
一唱	2	yí chàng	yí chàng
一唾	2	yī tuò	yī tuò
一善	2	yī shàn	yī shàn
一喝	2	yī hē	yī hē
一嗣	2	yī sì	yī sì
一回	2	yī huí	yī huí
一团	2	yī tuán	yī tuán
一圆	2	yī yuán	yī yuán
一地	2	yī dì	yī dì
一场	2	yī cháng	yī cháng
一坐	2	yī zuò	yī zuò
一块	2	yī kuài	yī kuài
一坨	2	yī tuó	yī tuó
一垛	2	yī duǒ	yī duǒ
一埚	2	yī guō	yī guō
一堆	2	yī duī	yī duī
一境	2	yī jìng	yī jìng
一壁	2	yī bì	yī bì
一壮	2	yī zhuàng	yī zhuàng
一声	2	yī shēng	yī shēng
一壶	2	yī hú	yī hú
一夏	2	yī xià	yī xià
一夔	2	yī kuí	yī kuí
一夕	2	yī xī	yī xī
一天	2	yì tiān	yì tiān
一夫	2	yī fū	yī fū
一头	2	yī tóu	yī tóu
一奇	2	yī qí	yī qí
一契	2	yī qì	yī qì
一套	2	yī tào	yī tào
一好	2	yī hǎo	yī hǎo
一如	2	yī rú	yī rú
一妹	2	yī mèi	yī mèi
一姓	2	yī xìng	yī xìng
一孔	2	yī kǒng	yī kǒng
一字	2	yī zì	yī zì
一宅	2	yī zhái	yī zhái
一宗	2	yī zōng	yī zōng
一定	2	yí dìng	yí dìng
一宛	2	yī wǎn	yī wǎn
一审	2	yī shěn	yī shěn
一宫	2	yī gōng	yī gōng
一家	2	yī jiā	yī jiā
一宿	2	yī xiǔ	yī xiǔ
一密	2	yī mì	yī mì
一察	2	yī chá	yī chá
一寸	2	yī cùn	yī cùn
一对	2	yī duì	yī duì
一寻	2	yī xún	yī xún
一寿	2	yī shòu	yī shòu
一封	2	yī fēng	yī fēng
一射	2	yī shè	yī shè
一尊	2	yī zūn	yī zūn
一小	2	yī xiǎo	yī xiǎo
一尔	2	yī ěr	yī ěr
一尘	2	yī chén	yī chén
一就	2	yī jiù	yī jiù
一尺	2	yī chǐ	yī chǐ
一局	2	yī jú	yī jú
一层	2	yī céng	yī céng
一屋	2	yī wū	yī wū
一屐	2	yī jī	yī jī
一属	2	yī shǔ	yī shǔ
一屯	2	yī tún	yī tún
一川	2	yī chuān	yī chuān
一巡	2	yī xún	yī xún
一己	2	yī jǐ	yī jǐ
一布	2	yī bù	yī bù
一帆	2	yī fān	yī fān
一帖	2	yī tiē	yī tiē
一带	2	yī dài	yī dài
一席	2	yī xí	yī xí
一幅	2	yī fú	yī fú
一幕	2	yí mù	yí mù
一干	2	yī gān	yī gān
一平	2	yī píng	yī píng
一并	2	yī bìng	yī bìng
一床	2	yī chuáng	yī chuáng
一应	2	yī yīng	yī yīng
一府	2	yī fǔ	yī fǔ
一度	2	yí dù	yí dù
一庹	2	yī tuǒ	yī tuǒ
一廛	2	yī chán	yī chán
一弄	2	yī nòng	yī nòng
一式	2	yī shì	yī shì
一归	2	yī guī	yī guī
一形	2	yī xíng	yī xíng
一彪	2	yī biāo	yī biāo
一往	2	yī wǎng	yī wǎng
一征	2	yī zhēng	yī zhēng
一径	2	yī jìng	yī jìng
一律	2	yī lǜ	yī lǜ
一得	2	yī de	yī de
一德	2	yī dé	yī dé
一心	2	yī xīn	yī xīn
一快	2	yī kuài	yī kuài
一念	2	yī niàn	yī niàn
一忽	2	yī hū	yī hū
一怔	2	yí zhèng	yí zhèng
一总	2	yī zǒng	yī zǒng
一恁	2	yī nèn	yī nèn
一息	2	yī xī	yī xī
一意	2	yī yì	yī yì
一戎	2	yī róng	yī róng
一成	2	yì chéng	yì chéng
一战	2	yī zhàn	yī zhàn
一截	2	yī jié	yī jié
一手	2	yī shǒu	yī shǒu
一扎	2	yī zā	yī zā
一扑	2	yī pū	yī pū
一打	2	yī dǎ	yī dǎ
一抄	2	yī chāo	yī chāo
一投	2	yī tóu	yī tóu
一抛	2	yī pāo	yī pāo
一抹	2	yī mǒ	yī mǒ
一拃	2	yī zhà	yī zhà
一拏	2	yī ná	yī ná
一拓	2	yī tuò	yī tuò
一拘	2	yī jū	yī jū
一招	2	yī zhāo	yī zhāo
一拨	2	yī bō	yī bō
一括	2	yī kuò	yī kuò
一拳	2	yī quán	yī quán
一挂	2	yī guà	yī guà
一指	2	yī zhǐ	yī zhǐ
一挺	2	yī tǐng	yī tǐng
一捻	2	yī niǎn	yī niǎn
一掇	2	yī duō	yī duō
一掌	2	yī zhǎng	yī zhǎng
一排	2	yī pái	yī pái
一接	2	yī jiē	yī jiē
一掬	2	yī jū	yī jū
一掷	2	yī zhì	yī zhì
一揆	2	yī kuí	yī kuí
一握	2	yī wò	yī wò
一搤	2	yī è	yī è
一搦	2	yī nuò	yī nuò
一搭	2	yī dā	yī dā
一撇	2	yī piě	yī piě
一撒	2	yī sā	yī sā
一撮	2	yī zuǒ	yī zuǒ
一操	2	yī cāo	yī cāo
一攒	2	yī zǎn	yī zǎn
一支	2	yī zhī	yī zhī
一改	2	yī gǎi	yī gǎi
一文	2	yī wén	yī wén
一斑	2	yī bān	yī bān
一断	2	yī duàn	yī duàn
一新	2	yī xīn	yī xīn
一方	2	yī fāng	yī fāng
一旁	2	yī páng	yī páng
一族	2	yī zú	yī zú
一日	2	yī rì	yī rì
一旦	2	yí dàn	yí dàn
一早	2	yī zǎo	yī zǎo
一时	2	yī shí	yī shí
一昏	2	yī hūn	yī hūn
一易	2	yī yì	yī yì
一昔	2	yī xī	yī xī
一星	2	yī xīng	yī xīng
一昨	2	yī zuó	yī zuó
一是	2	yī shì	yī shì
一晃	2	yī huǎng	yī huǎng
一晌	2	yī shǎng	yī shǎng
一晷	2	yī guǐ	yī guǐ
一暮	2	yī mù	yī mù
一曏	2	yī xiàng	yī xiàng
一曙	2	yī shǔ	yī shǔ
一曰	2	yī yuē	yī yuē
一曲	2	yī qǔ	yī qǔ
一更	2	yī gēng	yī gēng
一替	2	yī tì	yī tì
一月	2	yí yuè	yí yuè
一服	2	yī fù	yī fù
一望	2	yī wàng	yī wàng
一朝	2	yī zhāo	yī zhāo
一朞	2	yī jī	yī jī
一期	2	yī qī	yī qī
一本	2	yī běn	yī běn
一束	2	yī shù	yī shù
一条	2	yī tiáo	yī tiáo
