pinyin_tone,mapping_id,yime_code
bang5,78,􀀀􀀪􀀪􀀿
bao5,88,􀀀􀀪􀀪􀀤
ben5,104,􀀀􀀰􀀰􀀼
bian2,126,􀀀􀀢􀀪􀀻
biao2,140,􀀀􀀢􀀪􀀣
bie5,154,􀀀􀀡􀀰􀀰
bing5,170,􀀀􀀡􀀭􀀿
bu5,192,􀀀􀀤􀀤􀀤
cai5,208,􀀌􀀪􀀪􀀡
ceng5,248,􀀌􀀭􀀭􀀿
cha5,258,􀀏􀀪􀀪􀀪
chai5,268,􀀏􀀪􀀪􀀡
chan5,278,􀀏􀀪􀀪􀀼
chao5,298,􀀏􀀪􀀪􀀤
che5,308,􀀏􀀭􀀭􀀭
cheng5,328,􀀏􀀭􀀭􀀿
chou5,356,􀀏􀀭􀀭􀀤
chuang5,398,􀀏􀀤􀀪􀀿
chun5,414,􀀏􀀤􀀰􀀼
chuo5,420,􀀏􀀤􀀭􀀭
cun5,476,􀀌􀀤􀀰􀀼
cuo5,486,􀀌􀀤􀀭􀀭
dan5,512,􀀄􀀪􀀪􀀼
dao5,530,􀀄􀀪􀀪􀀤
deng5,550,􀀄􀀭􀀭􀀿
di5,560,􀀄􀀡􀀡􀀡
dian5,572,􀀄􀀡􀀪􀀼
diao2,576,􀀄􀀢􀀪􀀣
diao5,582,􀀄􀀡􀀪􀀤
die5,592,􀀄􀀡􀀰􀀰
ding5,602,􀀄􀀡􀀭􀀿
dong5,612,􀀄􀀤􀀭􀀿
dou5,620,􀀄􀀭􀀭􀀤
du5,630,􀀄􀀤􀀤􀀤
dui5,644,􀀄􀀤􀀰􀀡
dun5,652,􀀄􀀤􀀰􀀼
en5,688,􀀕􀀰􀀰􀀼
eng5,692,􀀕􀀭􀀭􀀿
er1,694,􀀕􀀵􀀵􀀵
fan5,722,􀀂􀀪􀀪􀀼
fei5,742,􀀂􀀰􀀰􀀡
fen5,752,􀀂􀀰􀀰􀀼
feng5,762,􀀂􀀭􀀭􀀿
ga5,792,􀀈􀀪􀀪􀀪
gai5,800,􀀈􀀪􀀪􀀡
gan5,808,􀀈􀀪􀀪􀀼
gang5,816,􀀈􀀪􀀪􀀿
gao5,824,􀀈􀀪􀀪􀀤
ge5,834,􀀈􀀭􀀭􀀭
gei5,838,􀀈􀀰􀀰􀀡
gou5,868,􀀈􀀭􀀭􀀤
gua5,888,􀀈􀀤􀀪􀀪
guai5,896,􀀈􀀤􀀪􀀡
gui5,918,􀀈􀀤􀀰􀀡
gun5,924,􀀈􀀤􀀰􀀼
ha5,944,􀀊􀀪􀀪􀀪
hang5,974,􀀊􀀪􀀪􀀿
hao5,984,􀀊􀀪􀀪􀀤
he5,994,􀀊􀀭􀀭􀀭
