# 本拼音库，绝大多数拼音由 pypinyin 生成，极少部分拼音抓取自汉典网(zdic.net)。
codepoint	hanzi	pinyin	pinyin_candidates
U+20000	𠀀	hē	"[""hē""]"
U+20001	𠀁	qī	"[""qī""]"
U+20002	𠀂		[]
U+20003	𠀃	qiě	"[""qiě"", ""jī""]"
U+20004	𠀄		[]
U+20005	𠀅	hài	"[""hài""]"
U+20006	𠀆		[]
U+20007	𠀇	qiě	"[""qiě""]"
U+20008	𠀈	qiū	"[""qiū""]"
U+20009	𠀉	qiū	"[""qiū""]"
U+2000A	𠀊	cāo	"[""cāo""]"
U+2000B	𠀋		[]
U+2000C	𠀌	qiū	"[""qiū""]"
U+2000D	𠀍	shì	"[""shì""]"
U+2000E	𠀎		[]
U+2000F	𠀏		[]
U+20010	𠀐		[]
U+20011	𠀑		[]
U+20012	𠀒		[]
U+20013	𠀓	sī	"[""sī""]"
U+20014	𠀔	jué	"[""jué""]"
U+20015	𠀕	gèn	"[""gèn""]"
U+20016	𠀖		[]
U+20017	𠀗		[]
U+20018	𠀘		[]
U+20019	𠀙		[]
U+2001A	𠀚	bù	"[""bù""]"
U+2001B	𠀛	yù	"[""yù""]"
U+2001C	𠀜		[]
U+2001D	𠀝	kōng	"[""kōng""]"
U+2001E	𠀞		[]
U+2001F	𠀟		[]
U+20020	𠀠		[]
U+20021	𠀡		[]
U+20022	𠀢	zī	"[""zī""]"
U+20023	𠀣		[]
U+20024	𠀤	bìng	"[""bìng""]"
U+20025	𠀥		[]
U+20026	𠀦	xíng	"[""xíng""]"
U+20027	𠀧		[]
U+20028	𠀨		[]
U+20029	𠀩		[]
U+2002A	𠀪		[]
U+2002B	𠀫		[]
U+2002C	𠀬	tiǎn	"[""tiǎn""]"
U+2002D	𠀭		[]
U+2002E	𠀮	jī	"[""jī""]"
U+2002F	𠀯		[]
U+20030	𠀰		[]
U+20031	𠀱	mǒu	"[""mǒu""]"
U+20032	𠀲		[]
U+20033	𠀳		[]
U+20034	𠀴		[]
U+20035	𠀵		[]
U+20036	𠀶		[]
U+20037	𠀷	jī	"[""jī""]"
U+20038	𠀸	yè	"[""yè""]"
U+20039	𠀹	jūn	"[""jūn""]"
U+2003A	𠀺		[]
U+2003B	𠀻		[]
U+2003C	𠀼	qián	"[""qián"", ""xià""]"
U+2003D	𠀽	lù	"[""lù""]"
U+2003E	𠀾	pēi	"[""pēi""]"
U+2003F	𠀿		[]
U+20040	𠁀		[]
U+20041	𠁁	dòu	"[""dòu"", ""tōu""]"
U+20042	𠁂		[]
U+20043	𠁃		[]
U+20044	𠁄		[]
U+20045	𠁅		[]
U+20046	𠁆		[]
U+20047	𠁇		[]
U+20048	𠁈		[]
U+20049	𠁉	chū	"[""chū""]"
U+2004A	𠁊		[]
U+2004B	𠁋		[]
U+2004C	𠁌		[]
U+2004D	𠁍		[]
U+2004E	𠁎		[]
U+2004F	𠁏		[]
U+20050	𠁐		[]
U+20051	𠁑		[]
U+20052	𠁒		[]
U+20053	𠁓		[]
U+20054	𠁔		[]
U+20055	𠁕		[]
U+20056	𠁖		[]
U+20057	𠁗	shì	"[""shì"", ""hè""]"
U+20058	𠁘		[]
U+20059	𠁙		[]
U+2005A	𠁚		[]
U+2005B	𠁛		[]
U+2005C	𠁜		[]
U+2005D	𠁝		[]
U+2005E	𠁞	pēi	"[""pēi""]"
U+2005F	𠁟		[]
U+20060	𠁠	qiè	"[""qiè""]"
U+20061	𠁡	bǔ	"[""bǔ""]"
U+20062	𠁢		[]
U+20063	𠁣		[]
U+20064	𠁤		[]
U+20065	𠁥	gǎ	"[""gǎ"", ""guǎi""]"
U+20066	𠁦	zhōng	"[""zhōng""]"
U+20067	𠁧	zhōng	"[""zhōng""]"
U+20068	𠁨		[]
U+20069	𠁩	zhōng	"[""zhōng""]"
U+2006A	𠁪		[]
U+2006B	𠁫		[]
U+2006C	𠁬		[]
U+2006D	𠁭	qí	"[""qí""]"
U+2006E	𠁮	shū	"[""shū""]"
U+2006F	𠁯		[]
U+20070	𠁰	guāi	"[""guāi""]"
