pinyin_tone	marked_pinyin	normalized	shouyin_label	ganyin_label	rule_id	shouyin_symbol	huyin_symbol	zhuyin_symbol	moyin_symbol	shouyin_id	huyin_id	zhuyin_id	moyin_id	shouyin_name	huyin_name	zhuyin_name	moyin_name	layout_code	aliases	status
a1	ā	a1	'	a1	zero-initial					N12	M10	M10	M10	'	ᴀ́	ᴀ́	ᴀ́	'fff	a1	ok
a2	á	a2	'	a2	zero-initial					N12	M12	M11	M10	'	ᴀ̀	ᴀ̄	ᴀ́	'sdf	a2	ok
a3	ǎ	a3	'	a3	zero-initial					N12	M12	M12	M12	'	ᴀ̀	ᴀ̀	ᴀ̀	'sss	a3	ok
a4	à	a4	'	a4	zero-initial					N12	M10	M11	M12	'	ᴀ́	ᴀ̄	ᴀ̀	'fds	a4	ok
a5	a	a5	'	a5	zero-initial					N12	M11	M11	M11	'	ᴀ̄	ᴀ̄	ᴀ̄	'ddd	a5	ok
ai1	āi	ai1	'	ai1	zero-initial					N12	M10	M10	M01	'	ᴀ́	ᴀ́	ɪ́	'ffj	ai1	ok
ai2	ái	ai2	'	ai2	zero-initial					N12	M12	M11	M01	'	ᴀ̀	ᴀ̄	ɪ́	'sdj	ai2	ok
ai3	ǎi	ai3	'	ai3	zero-initial					N12	M12	M12	M03	'	ᴀ̀	ᴀ̀	ɪ̀	'ssl	ai3	ok
ai4	ài	ai4	'	ai4	zero-initial					N12	M10	M11	M03	'	ᴀ́	ᴀ̄	ɪ̀	'fdl	ai4	ok
ai5	ai	ai5	'	ai5	zero-initial					N12	M11	M11	M02	'	ᴀ̄	ᴀ̄	ɪ̄	'ddk	ai5	ok
an1	ān	an1	'	an1	zero-initial					N12	M10	M10	M28	'	ᴀ́	ᴀ́	ń	'ffa	an1	ok
an2	án	an2	'	an2	zero-initial					N12	M12	M11	M28	'	ᴀ̀	ᴀ̄	ń	'sda	an2	ok
an3	ǎn	an3	'	an3	zero-initial					N12	M12	M12	M30	'	ᴀ̀	ᴀ̀	ǹ	'ssz	an3	ok
an4	àn	an4	'	an4	zero-initial					N12	M10	M11	M30	'	ᴀ́	ᴀ̄	ǹ	'fdz	an4	ok
an5	an	an5	'	an5	zero-initial					N12	M11	M11	M29	'	ᴀ̄	ᴀ̄	n̄	'ddN	an5	ok
ang1	āng	ang1	'	ang1	zero-initial					N12	M10	M10	M31	'	ᴀ́	ᴀ́	ŋ́	'ff;	ang1	ok
ang2	áng	ang2	'	ang2	zero-initial					N12	M12	M11	M31	'	ᴀ̀	ᴀ̄	ŋ́	'sd;	ang2	ok
ang3	ǎng	ang3	'	ang3	zero-initial					N12	M12	M12	M33	'	ᴀ̀	ᴀ̀	ŋ̀	'ss/	ang3	ok
ang4	àng	ang4	'	ang4	zero-initial					N12	M10	M11	M33	'	ᴀ́	ᴀ̄	ŋ̀	'fd/	ang4	ok
ang5	ang	ang5	'	ang5	zero-initial					N12	M11	M11	M32	'	ᴀ̄	ᴀ̄	ŋ̄	'ddG	ang5	ok
ao1	āo	ao1	'	ao1	zero-initial					N12	M10	M10	M04	'	ᴀ́	ᴀ́	ᴜ́	'ffu	ao1	ok
ao2	áo	ao2	'	ao2	zero-initial					N12	M12	M11	M04	'	ᴀ̀	ᴀ̄	ᴜ́	'sdu	ao2	ok
