pinyin_tone	marked_pinyin	source_rule_ids	char_occurrences	phrase_occurrences	reviewed_patch	orthography_rule_ids	encoder_alias_rule_ids	normalized_pinyin	shouyin_label	analyzed_ganyin_label	encoder_ganyin_label	yinyuan_ids	rule_basis	status
a1	ā	SRC-UNIHAN SRC-PHRASE-PINYIN	20	4475	False	ORTH-ZERO-INITIAL		a1	'	a1	a1	N12 M10 M10 M10	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
a2	á	SRC-UNIHAN SRC-PHRASE-PINYIN	5	7	False	ORTH-ZERO-INITIAL		a2	'	a2	a2	N12 M12 M11 M10	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
a3	ǎ	SRC-UNIHAN	4	0	False	ORTH-ZERO-INITIAL		a3	'	a3	a3	N12 M12 M12 M12	SRC-UNIHAN Unihan 单字读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
a4	à	SRC-UNIHAN SRC-PHRASE-PINYIN	4	4	False	ORTH-ZERO-INITIAL		a4	'	a4	a4	N12 M10 M11 M12	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
a5	a	SRC-UNIHAN SRC-PHRASE-PINYIN	6	9228	False	ORTH-ZERO-INITIAL		a5	'	a5	a5	N12 M11 M11 M11	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
ai1	āi	SRC-UNIHAN SRC-PHRASE-PINYIN	41	2928	False	ORTH-ZERO-INITIAL		ai1	'	ai1	ai1	N12 M10 M10 M01	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
ai2	ái	SRC-UNIHAN SRC-PHRASE-PINYIN	60	1015	False	ORTH-ZERO-INITIAL		ai2	'	ai2	ai2	N12 M12 M11 M01	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
ai3	ǎi	SRC-UNIHAN SRC-PHRASE-PINYIN	60	1145	False	ORTH-ZERO-INITIAL		ai3	'	ai3	ai3	N12 M12 M12 M03	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
ai4	ài	SRC-UNIHAN SRC-PHRASE-PINYIN	188	11457	False	ORTH-ZERO-INITIAL		ai4	'	ai4	ai4	N12 M10 M11 M03	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
ai5	ai	SRC-PHRASE-PINYIN	0	2	False	ORTH-ZERO-INITIAL		ai5	'	ai5	ai5	N12 M11 M11 M02	SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
an1	ān	SRC-UNIHAN SRC-PHRASE-PINYIN	114	19249	False	ORTH-ZERO-INITIAL		an1	'	an1	an1	N12 M10 M10 M28	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
an2	án	SRC-UNIHAN	17	0	False	ORTH-ZERO-INITIAL		an2	'	an2	an2	N12 M12 M11 M28	SRC-UNIHAN Unihan 单字读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
an3	ǎn	SRC-UNIHAN SRC-PHRASE-PINYIN	51	706	False	ORTH-ZERO-INITIAL		an3	'	an3	an3	N12 M12 M12 M30	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
an4	àn	SRC-UNIHAN SRC-PHRASE-PINYIN	106	13604	False	ORTH-ZERO-INITIAL		an4	'	an4	an4	N12 M10 M11 M30	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
an5	an	SRC-PHRASE-PINYIN	0	3	False	ORTH-ZERO-INITIAL		an5	'	an5	an5	N12 M11 M11 M29	SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
ang1	āng	SRC-UNIHAN SRC-PHRASE-PINYIN	10	44	False	ORTH-ZERO-INITIAL		ang1	'	ang1	ang1	N12 M10 M10 M31	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
ang2	áng	SRC-UNIHAN SRC-PHRASE-PINYIN	28	631	False	ORTH-ZERO-INITIAL		ang2	'	ang2	ang2	N12 M12 M11 M31	SRC-UNIHAN Unihan 单字读音实例；SRC-PHRASE-PINYIN phrase-pinyin-data 词语读音实例；ORTH-ZERO-INITIAL 零声母音节	encoded-with-registered-basis
