编号,全拼_raw,全拼_hex,简拼_raw,简拼_hex,干音_raw,干音_hex,映射编号
1,􀀀􀀠􀀠􀀠,U+100000 U+100020 U+100020 U+100020,􀀀􀀠,U+100000 U+100020,􀀀,U+100000,116
2,􀀀􀀠􀀡􀀢,U+100000 U+100020 U+100021 U+100022,􀀀􀀠􀀡􀀢,U+100000 U+100020 U+100021 U+100022,􀀀,U+100000,122
3,􀀀􀀠􀀩􀀣,U+100000 U+100020 U+100029 U+100023,􀀀􀀠􀀩􀀣,U+100000 U+100020 U+100029 U+100023,􀀀,U+100000,138
4,􀀀􀀠􀀩􀀻,U+100000 U+100020 U+100029 U+10003B,􀀀􀀠􀀩􀀻,U+100000 U+100020 U+100029 U+10003B,􀀀,U+100000,124
5,􀀀􀀠􀀪􀀥,U+100000 U+100020 U+10002A U+100025,􀀀􀀠􀀪􀀥,U+100000 U+100020 U+10002A U+100025,􀀀,U+100000,144
6,􀀀􀀠􀀪􀀽,U+100000 U+100020 U+10002A U+10003D,􀀀􀀠􀀪􀀽,U+100000 U+100020 U+10002A U+10003D,􀀀,U+100000,130
7,􀀀􀀠􀀪􀁀,U+100000 U+100020 U+10002A U+100040,􀀀􀀠􀀪􀁀,U+100000 U+100020 U+10002A U+100040,􀀀,U+100000,136
8,􀀀􀀠􀀬􀀾,U+100000 U+100020 U+10002C U+10003E,􀀀􀀠􀀬􀀾,U+100000 U+100020 U+10002C U+10003E,􀀀,U+100000,164
9,􀀀􀀠􀀭􀁀,U+100000 U+100020 U+10002D U+100040,􀀀􀀠􀀭􀁀,U+100000 U+100020 U+10002D U+100040,􀀀,U+100000,168
10,􀀀􀀠􀀯􀀯,U+100000 U+100020 U+10002F U+10002F,􀀀􀀠􀀯,U+100000 U+100020 U+10002F,􀀀,U+100000,146
11,􀀀􀀠􀀯􀀻,U+100000 U+100020 U+10002F U+10003B,􀀀􀀠􀀯􀀻,U+100000 U+100020 U+10002F U+10003B,􀀀,U+100000,156
12,􀀀􀀠􀀰􀀱,U+100000 U+100020 U+100030 U+100031,􀀀􀀠􀀰􀀱,U+100000 U+100020 U+100030 U+100031,􀀀,U+100000,152
13,􀀀􀀠􀀰􀀽,U+100000 U+100020 U+100030 U+10003D,􀀀􀀠􀀰􀀽,U+100000 U+100020 U+100030 U+10003D,􀀀,U+100000,160
14,􀀀􀀡􀀪􀀼,U+100000 U+100021 U+10002A U+10003C,􀀀􀀡􀀪􀀼,U+100000 U+100021 U+10002A U+10003C,􀀀,U+100000,132
15,􀀀􀀡􀀭􀀿,U+100000 U+100021 U+10002D U+10003F,􀀀􀀡􀀭􀀿,U+100000 U+100021 U+10002D U+10003F,􀀀,U+100000,170
16,􀀀􀀡􀀰􀀰,U+100000 U+100021 U+100030 U+100030,􀀀􀀡􀀰,U+100000 U+100021 U+100030,􀀀,U+100000,154
17,􀀀􀀡􀀰􀀼,U+100000 U+100021 U+100030 U+10003C,􀀀􀀡􀀰􀀼,U+100000 U+100021 U+100030 U+10003C,􀀀,U+100000,162
18,􀀀􀀢􀀡􀀠,U+100000 U+100022 U+100021 U+100020,􀀀􀀢􀀡􀀠,U+100000 U+100022 U+100021 U+100020,􀀀,U+100000,118
19,􀀀􀀢􀀢􀀢,U+100000 U+100022 U+100022 U+100022,􀀀􀀢,U+100000 U+100022,􀀀,U+100000,120
20,􀀀􀀢􀀪􀀣,U+100000 U+100022 U+10002A U+100023,􀀀􀀢􀀪􀀣,U+100000 U+100022 U+10002A U+100023,􀀀,U+100000,140
21,􀀀􀀢􀀪􀀻,U+100000 U+100022 U+10002A U+10003B,􀀀􀀢􀀪􀀻,U+100000 U+100022 U+10002A U+10003B,􀀀,U+100000,126
22,􀀀􀀢􀀪􀀾,U+100000 U+100022 U+10002A U+10003E,􀀀􀀢􀀪􀀾,U+100000 U+100022 U+10002A U+10003E,􀀀,U+100000,134
23,􀀀􀀢􀀫􀀥,U+100000 U+100022 U+10002B U+100025,􀀀􀀢􀀫􀀥,U+100000 U+100022 U+10002B U+100025,􀀀,U+100000,142
24,􀀀􀀢􀀫􀀽,U+100000 U+100022 U+10002B U+10003D,􀀀􀀢􀀫􀀽,U+100000 U+100022 U+10002B U+10003D,􀀀,U+100000,128
25,􀀀􀀢􀀮􀁀,U+100000 U+100022 U+10002E U+100040,􀀀􀀢􀀮􀁀,U+100000 U+100022 U+10002E U+100040,􀀀,U+100000,166
26,􀀀􀀢􀀰􀀯,U+100000 U+100022 U+100030 U+10002F,􀀀􀀢􀀰􀀯,U+100000 U+100022 U+100030 U+10002F,􀀀,U+100000,148
